repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.8,0.875,0.8076923076923077,0.8400000000000001,0.9175824175824175,0.9591985516475877
0,test,0.6595744680851063,0.6458333333333334,0.6739130434782609,0.6595744680851064,0.7368659420289856,0.7911858864098406
1,validation,0.825,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.9065934065934066,0.9418888969582742
1,test,0.6595744680851063,0.6458333333333334,0.6739130434782609,0.6595744680851064,0.743659420289855,0.7963232508946972
2,validation,0.775,0.8148148148148148,0.8461538461538461,0.830188679245283,0.8461538461538461,0.9216430655974722
2,test,0.6170212765957447,0.5925925925925926,0.6956521739130435,0.6399999999999999,0.7355072463768116,0.7888792210817615
3,validation,0.75,0.8333333333333334,0.7692307692307693,0.8,0.8516483516483516,0.9082377025330396
3,test,0.648936170212766,0.6274509803921569,0.6956521739130435,0.6597938144329897,0.7327898550724637,0.7866833492988552
4,validation,0.85,0.8571428571428571,0.9230769230769231,0.888888888888889,0.9285714285714285,0.9628327863446571
4,test,0.648936170212766,0.6326530612244898,0.6739130434782609,0.6526315789473685,0.7309782608695653,0.7845693878780943
5,validation,0.725,0.8,0.7692307692307693,0.7843137254901961,0.8351648351648352,0.911519685129937
5,test,0.6808510638297872,0.66,0.717391304347826,0.6875,0.7332427536231884,0.7929155006762684
6,validation,0.85,0.9545454545454546,0.8076923076923077,0.875,0.9368131868131868,0.9682461147511523
6,test,0.6702127659574468,0.6530612244897959,0.6956521739130435,0.6736842105263158,0.733695652173913,0.7786357659055995
7,validation,0.65,0.75,0.6923076923076923,0.7199999999999999,0.7527472527472527,0.8519384678254796
7,test,0.6276595744680851,0.6122448979591837,0.6521739130434783,0.631578947368421,0.7160326086956522,0.7661150303085597
8,validation,0.75,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.8736263736263736,0.9339123231048997
8,test,0.6808510638297872,0.6818181818181818,0.6521739130434783,0.6666666666666666,0.7454710144927537,0.798368556374113
9,validation,0.825,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.8653846153846154,0.918525237700071
9,test,0.6702127659574468,0.6470588235294118,0.717391304347826,0.6804123711340206,0.7228260869565217,0.7792906890582626
