,repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,1,test,0.8333333333333334,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.9204545454545454,0.925094183650655
1,2,test,0.8571428571428571,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.9633867276887872,0.9645256054305343
2,3,test,0.9047619047619048,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9795918367346939,0.9788546834146368
3,4,test,0.8809523809523809,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9160997732426304,0.8874018275776347
4,5,test,0.9285714285714286,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9795918367346939,0.9778870994113384
5,6,test,0.8571428571428571,0.8214285714285714,0.9583333333333334,0.8846153846153847,0.9467592592592593,0.9619960210756999
6,7,test,0.8095238095238095,0.7916666666666666,0.8636363636363636,0.8260869565217391,0.8568181818181818,0.7898812398234487
7,8,test,0.8809523809523809,0.8846153846153846,0.92,0.9019607843137256,0.9764705882352941,0.9838095986139466
8,9,test,0.8333333333333334,0.7391304347826086,0.9444444444444444,0.8292682926829269,0.9259259259259258,0.8642012589329411
9,10,test,0.8809523809523809,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.9444444444444444,0.942815700516724
